Title,Company,Location,Link
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikant-firmenkundenbetreuung-sme-m-w-d-at-hypovereinsbank-unicredit-deutschland-4182898894?position=35&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=8RNoRr3fiSsK5BKGi92IWg%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-data-management-at-hdi-group-4198325349?position=36&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=pPJTTMsaC2cFo9IMDeYFjA%3D%3D
N/A,N/A,"Burgdorf, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-data-management-at-tietalent-4203408860?position=37&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=NwhHKjLfOxRUuYyXr3fNhg%3D%3D
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-business-analyst-f%C3%BCr-workflow-automatisierungen-digital-transformation-all-genders-at-mtu-maintenance-4033164600?position=38&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=mEuUeLKlm0zM5u4oRamBmA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudierende-it-digitalisierung-m-w-d-at-nord-lb-4208894128?position=39&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=l1eBSBaG5JMU4DfalRjdlA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-solution-portfolio-management-solution-navigators-w-m-d-at-kpmg-deutschland-4208945207?position=40&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=1EqGNJSmFDGl6SaOmstmxA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-m-w-d-event-management-at-scalefree-4206005023?position=41&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=r5LpMrw4EestHQQbOlYOWQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikant-werkstudent-sap-consulting-m-w-d-in-hannover-at-deloitte-3979169878?position=42&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=sp9QGLB1wIPPMgRjD7yzTw%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-supply-chain-management-data-analyst-m-w-d-ref78436l-at-continental-4206101047?position=43&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=fEUTX06xeOocjaA77AZHNQ%3D%3D
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-industrial-it-all-genders-at-mtu-maintenance-4033165465?position=44&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=rpTl%2BBWnm4TbfgQPBOfmzA%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-digitalisierte-entwicklung-bremsregelsysteme-w-m-d-at-volkswagen-group-4175037659?position=1&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=sQcqn539o8PUpT2JbUNwuQ%3D%3D
N/A,N/A,"Salzgitter, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-vorserie-m-w-d-at-magna-international-4198328425?position=2&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=WdDdWz2O31oBiCSUYN%2BU5w%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-im-bereich-dokumentenerstellung-m-w-d-at-tennet-germany-4210558003?position=3&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=nqTrQxLvdWdnLmLqTOGvRw%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-m-w-d-dokumentenmanagement-freileitungsbau-mit-schwerpunkt-standards-und-kommunikation-at-tennet-germany-4217131752?position=4&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=ES9PraxHne4FK6Sj3aKd3Q%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-statik-im-bereich-bau-m-w-d-at-tennet-germany-4201426139?position=5&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=BmKDydF6YCJtX2yl0D7Ceg%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-ki-und-datenanalyse-w-m-d-at-volkswagen-group-4191581654?position=6&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=oKpCPfB9JCktPhF%2BPv0Plg%3D%3D
N/A,N/A,"Mariental-Dorf, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/marketing-data-analyst-m-w-d-at-sport-thieme-4211360009?position=7&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=Pe1%2Bd2kss3795GSLc%2FPbRQ%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-machine-learning-aktive-fahrzeugsicherheit-w-m-d-at-volkswagen-group-4186759797?position=8&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=vtrUPJJ9noohM1W%2Fs%2Bbhdw%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/working-student-thesis-%E2%80%93-visualization-of-data-analytics-processes-with-vr-technologies-at-iav-gmbh-4167474576?position=9&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=aPDSLrV6vwmdDMOKWH1jVQ%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/working-student-thesis-visualization-of-data-analytics-processes-with-vr-technologies-at-iav-gmbh-4117293195?position=10&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=uZVHfq2BZa3AtvOvfDt1RQ%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/abschlussarbeit-werkstudent-in-darstellung-von-data-analytics-prozessen-mit-vr-technologien-at-iav-gmbh-4117385421?position=11&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=2AbGuk7HimuxrMwwDWS6YA%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/abschlussarbeit-praktikum-werkstudent-in-security-management-prozesse-und-big-data-at-iav-gmbh-4204488499?position=12&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=rpupKr6kFXwJdIWQrSqNTQ%3D%3D
N/A,N/A,"Salzgitter, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/internship-master-thesis-it-in-the-genia-area-at-powerco-4192239815?position=13&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=rL4hGrSwCsnlhU1nxJC7bA%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-abschlussarbeit-intelligente-nacharbeitssteuerung-w-m-d-at-volkswagen-group-4205260509?position=14&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=pyL8m0S2iDpg%2F3WINREOGQ%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-praktikum-im-bereich-cyber-security-application-security-testing-at-ntt-data-europe-latam-4207381631?position=15&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=tyoviq9vyMeHBWYP8zEoXw%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-im-datenmanagement-geodaten-m-w-d-at-tennet-germany-4208584350?position=16&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=01zWwtbe4VDjwcLg0LqzVg%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/internship-working-student-final-thesis-tool-development-for-automotive-online-services-at-iav-gmbh-4182793044?position=17&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=lykjDZIrdVnh3bnsTEXwog%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-praktikum-im-bereich-cyber-security-api-security-at-ntt-data-europe-latam-4207386121?position=18&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=EeAihi2g1zZdj0AEUq6WJg%3D%3D
N/A,N/A,"Gifhorn, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/internship-working-student-final-thesis-%E2%80%93-tool-development-for-automotive-online-services-at-iav-gmbh-4182746869?position=19&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=zUmv2F9fHMryuaUDRsQX8A%3D%3D
N/A,N/A,"Wolfsburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-system-und-softwarearchitektur-antrieb-w-m-d-at-volkswagen-group-4205928573?position=20&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=xqNS%2BLGIhSdj%2FiqNrgzw7A%3D%3D
N/A,N/A,"Salzgitter, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-w-m-d-controlling-at-m%C3%B6hlenhoff-gmbh-4087661109?position=21&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=dgOGc7aZ25LCURmyryZbvA%3D%3D
N/A,N/A,"Brunswick, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/how-pedestrians-cross-roads-head-eye-movements-as-predictors-internship-thesis-at-german-aerospace-center-dlr-4215358207?position=22&pageNum=0&refId=W%2B2HEZQWoTLm0%2FMkxEV8nA%3D%3D&trackingId=lXUs8DxEQ45FtiRF1CyFUA%3D%3D
